Homeologous_ID;Gene;is_Marker_of_Cluster;Specificity;Stability;Genome Asymmetry
TraesCS2A03G0827700;TraesCS2B03G0914600;8RootHair;;;
TraesCS2A03G0827700;TraesCS2D03G0769800;8RootHair;;;
TraesCS2A03G0835500;TraesCS2A03G0835500;14RootCap_1Epidermis;unspecific;stable;
TraesCS2A03G0835500;TraesCS2D03G0778700;14RootCap_1Epidermis;;;
TraesCS2A03G0835500;TraesCS2B03G0926300;NA;;;
TraesCS2A03G0836100;TraesCS2D03G0779400;14RootCap;specific;stable;D_dominant_14
TraesCS2A03G0836100;TraesCS2A03G0836100;NA;;;
TraesCS2A03G0836100;TraesCS2B03G0927300;NA;;;
TraesCS2A03G0843300;TraesCS2A03G0843300;13Phloem;specific;stable;
TraesCS2A03G0843300;TraesCS2B03G0933300;NA;;;
TraesCS2A03G0843300;TraesCS2D03G0785600;NA;;;
TraesCS2A03G0843800;TraesCS2A03G0843800;12DividingCells;specific;stable;
TraesCS2A03G0843800;TraesCS2B03G0933700;12DividingCells;;;
TraesCS2A03G0843800;TraesCS2D03G0786200;12DividingCells;;;
TraesCS2A03G0854100;TraesCS2B03G0945900;8RootHair;unspecific;unstable;
TraesCS2A03G0854100;TraesCS2A03G0854100;8RootHair_14RootCap_1Epidermis;;;
TraesCS2A03G0854100;TraesCS2D03G0795800;8RootHair_14RootCap_1Epidermis;;;
TraesCS2A03G0857500;TraesCS2B03G0949900;3Meristems_0Unknown;unspecific;unstable;
TraesCS2A03G0857500;TraesCS2A03G0857500;3Meristems_2Cortex;;;
TraesCS2A03G0857500;TraesCS2D03G0798400;3Meristems_2Cortex;;;
TraesCS2A03G0858000;TraesCS2D03G0798800;7Epidermis;specific;stable;
TraesCS2A03G0858000;TraesCS2A03G0858000;7Epidermis_1Epidermis;;;
TraesCS2A03G0858000;TraesCS2B03G0950400;NA;;;
TraesCS2A03G0858200;TraesCS2D03G0799100;14RootCap_1Epidermis;unspecific;stable;
TraesCS2A03G0858200;TraesCS2A03G0858200;7Epidermis_14RootCap_1Epidermis;;;
TraesCS2A03G0858200;TraesCS2B03G0950600;NA;;;
TraesCS2A03G0860100;TraesCS2A03G0860100;7Epidermis_14RootCap_1Epidermis;unspecific;unstable;
TraesCS2A03G0860100;TraesCS2D03G0800100;7Epidermis_14RootCap_1Epidermis;;;
TraesCS2A03G0860100;TraesCS2B03G0951100;7Epidermis_1Epidermis;;;
TraesCS2A03G0860700;TraesCS2A03G0860700;11Endodermis/Phloem;unspecific;unstable;
TraesCS2A03G0860700;TraesCS2D03G0800700;4ProvascularCells_11Endodermis/Phloem_10Xylem;;;
TraesCS2A03G0860700;TraesCS2B03G0952200;NA;;;
TraesCS2A03G0862200;TraesCS2A03G0862200;11Endodermis/Phloem;specific;stable;
TraesCS2A03G0862200;TraesCS2B03G0954100;11Endodermis/Phloem;;;
TraesCS2A03G0862200;TraesCS2D03G0804200;11Endodermis/Phloem;;;
TraesCS2A03G0862400;TraesCS2D03G0804100;8RootHair;specific;stable;
TraesCS2A03G0862400;TraesCS2A03G0862400;NA;;;
TraesCS2A03G0862400;TraesCS2B03G0954400;NA;;;
TraesCS2A03G0863000;TraesCS2A03G0863000;12DividingCells;specific;stable;
TraesCS2A03G0863000;TraesCS2B03G0955500;12DividingCells;;;
TraesCS2A03G0863000;TraesCS2D03G0803000;12DividingCells;;;
TraesCS2A03G0863300;TraesCS2A03G0863300;4ProvascularCells;unspecific;unstable;
TraesCS2A03G0863300;TraesCS2B03G0955800;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G0863300;TraesCS2D03G0802200;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G0864600;TraesCS2A03G0864600;3Meristems;unspecific;unstable;
TraesCS2A03G0864600;TraesCS2B03G0965200;7Epidermis_3Meristems;;;
TraesCS2A03G0864600;TraesCS2D03G0813800;7Epidermis_3Meristems;;;
TraesCS2A03G0865300;TraesCS2A03G0865300;14RootCap;specific;stable;
TraesCS2A03G0865300;TraesCS2B03G0962700;NA;;;
TraesCS2A03G0865300;TraesCS2D03G0812700;NA;;;
TraesCS2A03G0870700;TraesCS2B03G0957400;6Pericycle_4ProvascularCells_10Xylem;unspecific;unstable;
TraesCS2A03G0870700;TraesCS2A03G0870700;6Pericycle_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G0870700;TraesCS2D03G0805700;6Pericycle_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G0874900;TraesCS2A03G0874900;12DividingCells;specific;stable;
TraesCS2A03G0874900;TraesCS2B03G0969700;12DividingCells;;;
TraesCS2A03G0874900;TraesCS2D03G0818300;12DividingCells;;;
TraesCS2A03G0888500;TraesCS2A03G0888500;14RootCap;unspecific;unstable;
TraesCS2A03G0888500;TraesCS2D03G0830600;14RootCap;;;
TraesCS2A03G0888500;TraesCS2B03G0978300;5Unknown_14RootCap;;;
TraesCS2A03G0889000;TraesCS2B03G0979500;3Meristems;specific;stable;
TraesCS2A03G0889000;TraesCS2D03G0831300;3Meristems;;;
TraesCS2A03G0889000;TraesCS2A03G0889000;NA;;;
TraesCS2A03G0890700;TraesCS2B03G0984000;14RootCap;specific;stable;B_dominant_14
TraesCS2A03G0890700;TraesCS2A03G0890700;NA;;;
TraesCS2A03G0890700;TraesCS2D03G0834100;NA;;;
TraesCS2A03G0895100;TraesCS2B03G0986400;14RootCap;specific;stable;
TraesCS2A03G0895100;TraesCS2A03G0895100;NA;;;
TraesCS2A03G0895100;TraesCS2D03G0835900;NA;;;
TraesCS2A03G0900500;TraesCS2B03G0990200;1Epidermis;specific;stable;A_suppressed_1
TraesCS2A03G0900500;TraesCS2D03G0838700;1Epidermis;;;
TraesCS2A03G0900500;TraesCS2A03G0900500;NA;;;
TraesCS2A03G0900600;TraesCS2A03G0900600;6Pericycle_14RootCap;unspecific;unstable;
TraesCS2A03G0900600;TraesCS2B03G0990700;6Pericycle_14RootCap;;;
TraesCS2A03G0900600;TraesCS2D03G0839400;8RootHair_14RootCap;;;
TraesCS2A03G0903000;TraesCS2A03G0903000;2Cortex;specific;stable;B_suppressed_2
TraesCS2A03G0903000;TraesCS2D03G0842000;2Cortex;;;
TraesCS2A03G0903000;TraesCS2B03G0993900;NA;;;
TraesCS2A03G0904700;TraesCS2A03G0904700;1Epidermis;unspecific;unstable;
TraesCS2A03G0904700;TraesCS2D03G0844200;8RootHair_14RootCap_1Epidermis;;;
TraesCS2A03G0904700;TraesCS2B03G0995100;8RootHair_1Epidermis;;;
TraesCS2A03G0910800;TraesCS2B03G1000500;11Endodermis/Phloem;unspecific;unstable;
TraesCS2A03G0910800;TraesCS2D03G0850700;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G0910800;TraesCS2A03G0910800;NA;;;
TraesCS2A03G0911000;TraesCS2A03G0911000;11Endodermis/Phloem;unspecific;unstable;
TraesCS2A03G0911000;TraesCS2B03G1001000;11Endodermis/Phloem;;;
TraesCS2A03G0911000;TraesCS2D03G0850800;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G0917100;TraesCS2D03G0857200;14RootCap;specific;stable;D_dominant_14
TraesCS2A03G0917100;TraesCS2A03G0917100;NA;;;
TraesCS2A03G0917100;TraesCS2B03G1005600;NA;;;
TraesCS2A03G0917300;TraesCS2D03G0857400;14RootCap;specific;stable;D_dominant_14
TraesCS2A03G0917300;TraesCS2A03G0917300;NA;;;
TraesCS2A03G0917300;TraesCS2B03G1006100;NA;;;
TraesCS2A03G0920600;TraesCS2A03G0920600;9Endodermis;specific;stable;
TraesCS2A03G0920600;TraesCS2B03G1009100;9Endodermis;;;
TraesCS2A03G0920600;TraesCS2D03G0860000;9Endodermis;;;
TraesCS2A03G0922100;TraesCS2A03G0922100;14RootCap_10Xylem;unspecific;unstable;
TraesCS2A03G0922100;TraesCS2D03G0861600;14RootCap_10Xylem;;;
TraesCS2A03G0922100;TraesCS2B03G1012300;14RootCap_11Endodermis/Phloem_10Xylem;;;
TraesCS2A03G0922600;TraesCS2D03G0862600;5Unknown;specific;stable;B_suppressed_5
TraesCS2A03G0922600;TraesCS2A03G0922600;NA;;;
TraesCS2A03G0922600;TraesCS2B03G1014000;NA;;;
TraesCS2A03G0926700;TraesCS2A03G0926700;9Endodermis;specific;stable;
TraesCS2A03G0926700;TraesCS2D03G0866300;9Endodermis;;;
TraesCS2A03G0926700;TraesCS2B03G1018700;NA;;;
TraesCS2A03G0927200;TraesCS2D03G0867000;6Pericycle;specific;stable;D_dominant_6
TraesCS2A03G0927200;TraesCS2A03G0927200;NA;;;
TraesCS2A03G0927200;TraesCS2B03G1019600;NA;;;
TraesCS2A03G0928000;TraesCS2A03G0928000;7Epidermis;unspecific;unstable;
TraesCS2A03G0928000;TraesCS2D03G0867100;7Epidermis;;;
TraesCS2A03G0928000;TraesCS2B03G1020100;7Epidermis_3Meristems;;;
TraesCS2A03G0933900;TraesCS2A03G0933900;10Xylem;specific;stable;
TraesCS2A03G0933900;TraesCS2B03G1027100;NA;;;
TraesCS2A03G0933900;TraesCS2D03G0872900;NA;;;
TraesCS2A03G0935000;TraesCS2B03G1029300;13Phloem;specific;stable;D_suppressed_13
TraesCS2A03G0935000;TraesCS2A03G0935000;NA;;;
TraesCS2A03G0935000;TraesCS2D03G0874500;NA;;;
TraesCS2A03G0935100;TraesCS2B03G1029400;5Unknown;specific;stable;B_dominant_5
TraesCS2A03G0935100;TraesCS2A03G0935100;NA;;;
TraesCS2A03G0935100;TraesCS2D03G0874600;NA;;;
TraesCS2A03G0939700;TraesCS2A03G0939700;6Pericycle;specific;stable;
TraesCS2A03G0939700;TraesCS2B03G1034800;NA;;;
TraesCS2A03G0939700;TraesCS2D03G0880600;NA;;;
TraesCS2A03G0940000;TraesCS2A03G0940000;4ProvascularCells;specific;stable;
TraesCS2A03G0940000;TraesCS2B03G1035000;NA;;;
TraesCS2A03G0940000;TraesCS2D03G0880800;NA;;;
TraesCS2A03G0941300;TraesCS2A03G0941300;8RootHair_14RootCap_1Epidermis;unspecific;stable;
TraesCS2A03G0941300;TraesCS2B03G1042000;NA;;;
TraesCS2A03G0941300;TraesCS2D03G0885000;NA;;;
TraesCS2A03G0943600;TraesCS2A03G0943600;11Endodermis/Phloem;specific;stable;
TraesCS2A03G0943600;TraesCS2B03G1040700;11Endodermis/Phloem;;;
TraesCS2A03G0943600;TraesCS2D03G0883100;NA;;;
TraesCS2A03G0945900;TraesCS2A03G0945900;11Endodermis/Phloem;specific;stable;
TraesCS2A03G0945900;TraesCS2B03G1044400;11Endodermis/Phloem;;;
TraesCS2A03G0945900;TraesCS2D03G0887400;NA;;;
TraesCS2A03G0949800;TraesCS2B03G1048800;11Endodermis/Phloem;specific;stable;
TraesCS2A03G0949800;TraesCS2A03G0949800;NA;;;
TraesCS2A03G0949800;TraesCS2D03G0891600;NA;;;
TraesCS2A03G0956600;TraesCS2A03G0956600;12DividingCells;specific;stable;A_dominant_12
TraesCS2A03G0956600;TraesCS2B03G1058600;NA;;;
TraesCS2A03G0956600;TraesCS2D03G0899200;NA;;;
TraesCS2A03G0956700;TraesCS2A03G0956700;13Phloem;specific;stable;
TraesCS2A03G0956700;TraesCS2B03G1058700;13Phloem;;;
TraesCS2A03G0956700;TraesCS2D03G0899300;NA;;;
TraesCS2A03G0958800;TraesCS2A03G0958800;8RootHair;specific;stable;
TraesCS2A03G0958800;TraesCS2B03G1060900;NA;;;
TraesCS2A03G0958800;TraesCS2D03G0900800;NA;;;
TraesCS2A03G0963600;TraesCS2A03G0963600;8RootHair;specific;stable;
TraesCS2A03G0963600;TraesCS2B03G1068300;NA;;;
TraesCS2A03G0963600;TraesCS2D03G0905400;NA;;;
TraesCS2A03G0973200;TraesCS2A03G0973200;12DividingCells;specific;stable;B_suppressed_12
TraesCS2A03G0973200;TraesCS2D03G0912100;12DividingCells;;;
TraesCS2A03G0973200;TraesCS2B03G1077200;NA;;;
TraesCS2A03G0976200;TraesCS2A03G0976200;13Phloem;specific;stable;A_suppressed_13
TraesCS2A03G0976200;TraesCS2B03G1081500;13Phloem;;;
TraesCS2A03G0976200;TraesCS2D03G0915700;13Phloem;;;
TraesCS2A03G0976400;TraesCS2B03G1081700;14RootCap;specific;stable;
TraesCS2A03G0976400;TraesCS2A03G0976400;NA;;;
TraesCS2A03G0976400;TraesCS2D03G0915900;NA;;;
TraesCS2A03G0977000;TraesCS2B03G1082100;10Xylem;specific;stable;B_dominant_10
TraesCS2A03G0977000;TraesCS2A03G0977000;NA;;;
TraesCS2A03G0977000;TraesCS2D03G0916400;NA;;;
TraesCS2A03G0977100;TraesCS2B03G1082200;13Phloem;unspecific;unstable;
TraesCS2A03G0977100;TraesCS2A03G0977100;6Pericycle;;;
TraesCS2A03G0977100;TraesCS2D03G0916500;NA;;;
TraesCS2A03G0979000;TraesCS2A03G0979000;8RootHair_2Cortex_1Epidermis;unspecific;stable;
TraesCS2A03G0979000;TraesCS2B03G1083100;8RootHair_2Cortex_1Epidermis;;;
TraesCS2A03G0979000;TraesCS2D03G0917400;8RootHair_2Cortex_1Epidermis;;;
TraesCS2A03G0980700;TraesCS2A03G0980700;5Unknown_14RootCap;unspecific;stable;
TraesCS2A03G0980700;TraesCS6B03G0281400;NA;;;
TraesCS2A03G0980700;TraesCS6D03G0597900;NA;;;
TraesCS2A03G0983900;TraesCS2A03G0983900;14RootCap;specific;stable;
TraesCS2A03G0983900;TraesCS2D03G0922300;14RootCap;;;
TraesCS2A03G0983900;TraesCS2B03G1091400;NA;;;
TraesCS2A03G0984100;TraesCS2D03G0922400;5Unknown;specific;stable;D_dominant_5
TraesCS2A03G0984100;TraesCS2A03G0984100;NA;;;
TraesCS2A03G0984100;TraesCS2B03G1092000;NA;;;
TraesCS2A03G0988000;TraesCS2A03G0988000;2Cortex;specific;stable;
TraesCS2A03G0988000;TraesCS2B03G1096500;2Cortex;;;
TraesCS2A03G0988000;TraesCS2D03G0925700;2Cortex;;;
TraesCS2A03G0991200;TraesCS2A03G0991200;8RootHair;specific;stable;D_suppressed_8
TraesCS2A03G0991200;TraesCS2B03G1100500;8RootHair;;;
TraesCS2A03G0991200;TraesCS2D03G0929500;8RootHair;;;
TraesCS2A03G0995900;TraesCS2D03G0932400;13Phloem;specific;stable;
TraesCS2A03G0995900;TraesCS2A03G0995900;NA;;;
TraesCS2A03G0995900;TraesCS2B03G1106900;NA;;;
TraesCS2A03G0997300;TraesCS2A03G0997300;8RootHair;specific;stable;A_dominant_8
TraesCS2A03G0997300;TraesCS2B03G1108400;NA;;;
TraesCS2A03G0997300;TraesCS2D03G0933200;NA;;;
TraesCS2A03G1005800;TraesCS2D03G0940700;11Endodermis/Phloem;specific;stable;
TraesCS2A03G1005800;TraesCS2A03G1005800;NA;;;
TraesCS2A03G1005800;TraesCS2B03G1117400;NA;;;
TraesCS2A03G1006800;TraesCS2B03G1118900;2Cortex;specific;stable;
TraesCS2A03G1006800;TraesCS2A03G1006800;NA;;;
TraesCS2A03G1006800;TraesCS2D03G0942400;NA;;;
TraesCS2A03G1012900;TraesCS2B03G1128800;6Pericycle_11Endodermis/Phloem;unspecific;stable;
TraesCS2A03G1012900;TraesCS2A03G1012900;NA;;;
TraesCS2A03G1012900;TraesCS2D03G0951500;NA;;;
TraesCS2A03G1014100;TraesCS2A03G1014100;10Xylem;unspecific;unstable;
TraesCS2A03G1014100;TraesCS2D03G0953500;11Endodermis/Phloem;;;
TraesCS2A03G1014100;TraesCS2B03G1130800;NA;;;
TraesCS2A03G1017700;TraesCS2B03G1137400;11Endodermis/Phloem;specific;stable;B_dominant_11
TraesCS2A03G1017700;TraesCS2A03G1017700;NA;;;
TraesCS2A03G1017700;TraesCS2D03G0958500;NA;;;
TraesCS2A03G1017900;TraesCS2A03G1017900;11Endodermis/Phloem;specific;stable;B_suppressed_11
TraesCS2A03G1017900;TraesCS2D03G0958800;11Endodermis/Phloem;;;
TraesCS2A03G1017900;TraesCS2B03G1137500;NA;;;
TraesCS2A03G1028100;TraesCS2D03G0968000;10Xylem;specific;stable;
TraesCS2A03G1028100;TraesCS2A03G1028100;NA;;;
TraesCS2A03G1028100;TraesCS2B03G1150000;NA;;;
TraesCS2A03G1030400;TraesCS2A03G1030400;7Epidermis_3Meristems_12DividingCells;unspecific;stable;
TraesCS2A03G1030400;TraesCS2B03G1152000;7Epidermis_3Meristems_12DividingCells;;;
TraesCS2A03G1030400;TraesCS2D03G0970000;7Epidermis_3Meristems_12DividingCells;;;
TraesCS2A03G1030900;TraesCS2A03G1030900;13Phloem;specific;stable;
TraesCS2A03G1030900;TraesCS2B03G1152100;13Phloem;;;
TraesCS2A03G1030900;TraesCS2D03G0970300;NA;;;
TraesCS2A03G1031600;TraesCS2A03G1031600;14RootCap;specific;stable;A_dominant_14
TraesCS2A03G1031600;TraesCS2D03G0970800;14RootCap;;;
TraesCS2A03G1031600;TraesCS2B03G1152700;NA;;;
TraesCS2A03G1034400;TraesCS2A03G1034400;13Phloem;specific;stable;B_suppressed_13
TraesCS2A03G1034400;TraesCS2B03G1160800;13Phloem;;;
TraesCS2A03G1034400;TraesCS2D03G0978200;13Phloem;;;
TraesCS2A03G1041300;TraesCS2A03G1041300;14RootCap;specific;stable;
TraesCS2A03G1041300;TraesCS2B03G1163100;NA;;;
TraesCS2A03G1041300;TraesCS2D03G0980000;NA;;;
TraesCS2A03G1045500;TraesCS2D03G0982900;14RootCap;specific;stable;
TraesCS2A03G1045500;TraesCS2A03G1045500;NA;;;
TraesCS2A03G1045500;TraesCS2B03G1165400;NA;;;
TraesCS2A03G1051300;TraesCS2A03G1051300;7Epidermis_12DividingCells;unspecific;unstable;
TraesCS2A03G1051300;TraesCS2D03G0992100;7Epidermis_3Meristems;;;
TraesCS2A03G1051300;TraesCS2B03G1176000;NA;;;
TraesCS2A03G1051500;TraesCS2A03G1051500;12DividingCells;specific;stable;
TraesCS2A03G1051500;TraesCS2B03G1176500;12DividingCells;;;
TraesCS2A03G1051500;TraesCS2D03G0992400;12DividingCells;;;
TraesCS2A03G1052500;TraesCS2A03G1052500;10Xylem;specific;stable;D_suppressed_10
TraesCS2A03G1052500;TraesCS2B03G1177400;10Xylem;;;
TraesCS2A03G1052500;TraesCS2D03G0993800;NA;;;
TraesCS2A03G1074800;TraesCS2B03G1203800;6Pericycle;specific;stable;
TraesCS2A03G1074800;TraesCS2A03G1074800;NA;;;
TraesCS2A03G1074800;TraesCS2D03G1018200;NA;;;
TraesCS2A03G1083300;TraesCS2A03G1083300;14RootCap;specific;stable;A_suppressed_14
TraesCS2A03G1083300;TraesCS2B03G1214600;14RootCap;;;
TraesCS2A03G1083300;TraesCS2D03G1025100;14RootCap;;;
TraesCS2A03G1090900;TraesCS2A03G1090900;9Endodermis;specific;stable;
TraesCS2A03G1090900;TraesCS2B03G1223500;NA;;;
TraesCS2A03G1090900;TraesCS2D03G1034600;NA;;;
TraesCS2A03G1098600;TraesCS2D03G1042000;14RootCap;specific;stable;
TraesCS2A03G1098600;TraesCS2A03G1098600;NA;;;
TraesCS2A03G1098600;TraesCS2B03G1233400;NA;;;
TraesCS2A03G1100400;TraesCS2B03G1235400;6Pericycle;specific;stable;
TraesCS2A03G1100400;TraesCS2A03G1100400;NA;;;
TraesCS2A03G1100400;TraesCS2D03G1044500;NA;;;
TraesCS2A03G1102800;TraesCS2B03G1239500;6Pericycle;specific;stable;
TraesCS2A03G1102800;TraesCS2A03G1102800;NA;;;
TraesCS2A03G1102800;TraesCS2D03G1049400;NA;;;
TraesCS2A03G1103000;TraesCS5D03G0699000;3Meristems;specific;stable;D_dominant_3
TraesCS2A03G1103000;TraesCS2A03G1103000;NA;;;
TraesCS2A03G1103000;TraesCS1B03G1024700;NA;;;
TraesCS2A03G1116800;TraesCS2B03G1258000;14RootCap;specific;stable;
TraesCS2A03G1116800;TraesCS2A03G1116800;NA;;;
TraesCS2A03G1116800;TraesCS2D03G1064700;NA;;;
TraesCS2A03G1116900;TraesCS2A03G1116900;13Phloem;specific;stable;A_dominant_13
TraesCS2A03G1116900;TraesCS2B03G1258100;13Phloem;;;
TraesCS2A03G1116900;TraesCS2D03G1064800;NA;;;
TraesCS2A03G1125500;TraesCS2A03G1125500;11Endodermis/Phloem_10Xylem;unspecific;unstable;
TraesCS2A03G1125500;TraesCS2D03G1074800;11Endodermis/Phloem_10Xylem;;;
TraesCS2A03G1125500;TraesCS2B03G1274400;14RootCap_11Endodermis/Phloem_10Xylem;;;
TraesCS2A03G1126100;TraesCS2B03G1276300;5Unknown;specific;stable;B_dominant_5
TraesCS2A03G1126100;TraesCS2A03G1126100;NA;;;
TraesCS2A03G1126100;TraesCS2D03G1076000;NA;;;
TraesCS2A03G1141500;TraesCS2A03G1141500;2Cortex;specific;stable;A_dominant_2
TraesCS2A03G1141500;TraesCS2B03G1298000;NA;;;
TraesCS2A03G1141500;TraesCS2D03G1092400;NA;;;
TraesCS2A03G1143600;TraesCS2A03G1143600;12DividingCells_11Endodermis/Phloem;unspecific;stable;
TraesCS2A03G1143600;TraesCS2B03G1299600;NA;;;
TraesCS2A03G1143600;TraesCS2D03G1093700;NA;;;
TraesCS2A03G1151900;TraesCS2D03G1100800;4ProvascularCells_11Endodermis/Phloem;unspecific;unstable;
TraesCS2A03G1151900;TraesCS2A03G1151900;4ProvascularCells_11Endodermis/Phloem_10Xylem;;;
TraesCS2A03G1151900;TraesCS2B03G1307900;4ProvascularCells_11Endodermis/Phloem_10Xylem;;;
TraesCS2A03G1152000;TraesCS2A03G1152000;4ProvascularCells_11Endodermis/Phloem;unspecific;unstable;
TraesCS2A03G1152000;TraesCS2D03G1101000;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G1152000;TraesCS2B03G1308200;4ProvascularCells_11Endodermis/Phloem_10Xylem;;;
TraesCS2A03G1162700;TraesCS2A03G1162700;8RootHair;specific;stable;
TraesCS2A03G1162700;TraesCS2B03G1319000;8RootHair;;;
TraesCS2A03G1162700;TraesCS2D03G1111800;8RootHair;;;
TraesCS2A03G1162800;TraesCS2A03G1162800;10Xylem;specific;stable;
TraesCS2A03G1162800;TraesCS2B03G1319100;10Xylem;;;
TraesCS2A03G1162800;TraesCS2D03G1111900;10Xylem;;;
TraesCS2A03G1166300;TraesCS2B03G1322200;8RootHair_1Epidermis;specific;stable;
TraesCS2A03G1166300;TraesCS2A03G1166300;NA;;;
TraesCS2A03G1166300;TraesCS2D03G1115800;NA;;;
TraesCS2A03G1168700;TraesCS2B03G1326400;14RootCap;unspecific;unstable;
TraesCS2A03G1168700;TraesCS2D03G1119100;5Unknown;;;
TraesCS2A03G1168700;TraesCS2A03G1168700;NA;;;
TraesCS2A03G1169300;TraesCS2D03G1119800;14RootCap;specific;stable;D_dominant_14
TraesCS2A03G1169300;TraesCS2A03G1169300;NA;;;
TraesCS2A03G1169300;TraesCS2B03G1328200;NA;;;
TraesCS2A03G1177900;TraesCS2A03G1177900;9Endodermis;specific;stable;
TraesCS2A03G1177900;TraesCS2B03G1339900;NA;;;
TraesCS2A03G1177900;TraesCS2D03G1131500;NA;;;
TraesCS2A03G1180300;TraesCS2A03G1180300;14RootCap_1Epidermis;unspecific;unstable;
TraesCS2A03G1180300;TraesCS2D03G1133500;1Epidermis;;;
TraesCS2A03G1180300;TraesCS2B03G1341500;2Cortex_14RootCap_1Epidermis;;;
TraesCS2A03G1180700;TraesCS2B03G1342300;12DividingCells;specific;stable;
TraesCS2A03G1180700;TraesCS2A03G1180700;NA;;;
TraesCS2A03G1180700;TraesCS2D03G1134000;NA;;;
TraesCS2A03G1191100;TraesCS2D03G1146600;14RootCap_1Epidermis;unspecific;stable;
TraesCS2A03G1191100;TraesCS2B03G1355200;8RootHair_14RootCap_1Epidermis;;;
TraesCS2A03G1191100;TraesCS2A03G1191100;NA;;;
TraesCS2A03G1202600;TraesCS2A03G1202600;6Pericycle;specific;stable;
TraesCS2A03G1202600;TraesCS2B03G1372800;6Pericycle;;;
TraesCS2A03G1202600;TraesCS2D03G1158000;6Pericycle;;;
TraesCS2A03G1211600;TraesCS2A03G1211600;9Endodermis_4ProvascularCells_11Endodermis/Phloem;unspecific;stable;
TraesCS2A03G1211600;TraesCS2B03G1381600;9Endodermis_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G1211600;TraesCS2D03G1166500;9Endodermis_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS2A03G1211800;TraesCS2D03G1166900;9Endodermis;specific;stable;
TraesCS2A03G1211800;TraesCS2A03G1211800;NA;;;
TraesCS2A03G1211800;TraesCS2B03G1383200;NA;;;
TraesCS2A03G1215700;TraesCS2D03G1173300;2Cortex;unspecific;unstable;
TraesCS2A03G1215700;TraesCS2B03G1389400;3Meristems;;;
TraesCS2A03G1215700;TraesCS2A03G1215700;NA;;;
TraesCS2A03G1221200;TraesCS2A03G1221200;6Pericycle;specific;stable;D_dominant_6
TraesCS2A03G1221200;TraesCS2D03G1179800;6Pericycle;;;
TraesCS2A03G1221200;TraesCS2B03G1396900;NA;;;
TraesCS2A03G1222400;TraesCS2D03G1181000;10Xylem;unspecific;unstable;
TraesCS2A03G1222400;TraesCS2A03G1222400;14RootCap_10Xylem;;;
TraesCS2A03G1222400;TraesCS2B03G1399100;14RootCap_10Xylem;;;
TraesCS2A03G1233500;TraesCS2B03G1408500;5Unknown;unspecific;unstable;
TraesCS2A03G1233500;TraesCS2D03G1190200;5Unknown;;;
TraesCS2A03G1233500;TraesCS2A03G1233500;5Unknown_14RootCap;;;
TraesCS2A03G1233700;TraesCS2A03G1233700;5Unknown_14RootCap;unspecific;stable;
TraesCS2A03G1233700;TraesCS2B03G1408600;NA;;;
TraesCS2A03G1233700;TraesCS2D03G1190300;NA;;;
TraesCS2A03G1234200;TraesCS2A03G1234200;11Endodermis/Phloem;specific;stable;B_suppressed_11
TraesCS2A03G1234200;TraesCS2D03G1190900;11Endodermis/Phloem;;;
TraesCS2A03G1234200;TraesCS2B03G1409100;NA;;;
TraesCS2A03G1241600;TraesCS2B03G1423700;12DividingCells;specific;stable;
TraesCS2A03G1241600;TraesCS2A03G1241600;NA;;;
TraesCS2A03G1241600;TraesCS2D03G1196900;NA;;;
TraesCS2A03G1256000;TraesCS2A03G1256000;12DividingCells;specific;stable;
TraesCS2A03G1256000;TraesCS2B03G1439700;12DividingCells;;;
TraesCS2A03G1256000;TraesCS2D03G1213000;12DividingCells;;;
TraesCS2A03G1256200;TraesCS2A03G1256200;14RootCap_13Phloem;unspecific;stable;
TraesCS2A03G1256200;TraesCS2B03G1440200;14RootCap_13Phloem;;;
TraesCS2A03G1256200;TraesCS2D03G1213200;14RootCap_13Phloem;;;
TraesCS2A03G1264100;TraesCS2A03G1264100;14RootCap;specific;stable;
TraesCS2A03G1264100;TraesCS2B03G1446000;14RootCap;;;
TraesCS2A03G1264100;TraesCS2D03G1218500;NA;;;
TraesCS2A03G1272900;TraesCS2B03G1455300;14RootCap;specific;stable;
TraesCS2A03G1272900;TraesCS2A03G1272900;NA;;;
TraesCS2A03G1272900;TraesCS2D03G1228700;NA;;;
TraesCS2A03G1280900;TraesCS2A03G1280900;14RootCap;specific;stable;A_dominant_14
TraesCS2A03G1280900;TraesCS2B03G1470000;NA;;;
TraesCS2A03G1280900;TraesCS2D03G1243500;NA;;;
TraesCS2A03G1281500;TraesCS2A03G1281500;8RootHair;specific;stable;
TraesCS2A03G1281500;TraesCS2B03G1468700;8RootHair;;;
TraesCS2A03G1281500;TraesCS2D03G1242700;8RootHair;;;
TraesCS2A03G1288200;TraesCS2B03G1481000;14RootCap;unspecific;unstable;
TraesCS2A03G1288200;TraesCS2A03G1288200;5Unknown_14RootCap;;;
